dimension,dimension_label,agreement_mean,n_docs,quality_band
key_measures,关键措施,0.011,51,不宜直接入模
implementation_mechanism,执行机制,0.082,50,不宜直接入模
target_industries,目标行业,0.207,50,不宜直接入模
quantitative_targets,量化目标,0.293,50,不宜直接入模
innovation_points,创新点,0.336,57,不宜直接入模
vertical_coordination,纵向协调,0.336,50,不宜直接入模
penalty_provisions,处罚条款,0.343,50,不宜直接入模
referenced_policies,引用政策,0.364,50,不宜直接入模
pollutant_types,污染物覆盖,0.521,50,需重点核验
doc_number,文号,0.667,50,中等一致性
issue_date,发布日期,0.713,50,中等一致性
policy_tools,政策工具,0.738,50,中等一致性
policy_name,政策名称,0.787,50,中等一致性
policy_objective_level,目标层次,0.793,50,中等一致性
effective_date,施行日期,0.82,50,高一致性
issuing_authority,发文机关,0.86,50,高一致性
regulatory_stringency,规制严格度,0.867,50,高一致性
policy_type,政策类型,0.883,50,高一致性
policy_tone,政策语气,0.92,50,高一致性
policy_intensity,政策力度,0.96,50,高一致性
gov_level,政府层级,1.0,50,高一致性
