file_name,agreement_rate,extraction_status,valid_model_count,failed_model_count,disagreement_count,DeepSeek-V3.2,MiniMax-M2.5,Kimi-K2.5
01_大气污染防治行动计划_2013_国务院.pdf,0.685,success,3,0,10,0.93,,0.97
02_水污染防治行动计划_2015_国务院.pdf,0.594,success,3,0,12,0.642,0.663,0.619
03_土壤污染防治行动计划_2016_国务院.pdf,0.478,success,3,0,15,0.46,,0.551
04_环境保护税法_2016.pdf,0.603,success,3,0,12,0.92,0.97,0.92
05_碳排放权交易管理办法_2021_生态环境部.pdf,0.616,success,3,0,11,0.91,1.0,0.97
06_环境保护法_2014修订.pdf,0.675,success,3,0,11,0.95,0.92,0.95
07_绿色低碳循环发展经济体系指导意见_2021_国务院.pdf,0.563,success,3,0,14,0.92,,0.85
08_排污许可管理条例_2021_国务院.pdf,0.654,success,3,0,10,0.95,0.995,0.95
09_企业环境信息依法披露管理办法_2021_生态环境部.pdf,0.588,success,3,0,14,0.93,,0.98
10_北京市大气污染防治条例_2014.pdf,0.533,success,3,0,15,0.558,0.607,0.577
11_中华人民共和国水污染防治法_2017修正.pdf,0.618,success,3,0,11,0.501,0.602,0.551
12_中华人民共和国大气污染防治法_2018修正.pdf,0.66,success,3,0,11,0.471,0.507,0.402
13_中华人民共和国固体废物污染环境防治法_2020修订.pdf,0.686,success,3,0,10,0.44,0.521,0.541
14_中华人民共和国环境噪声污染防治法_2018修正.pdf,0.598,success,3,0,13,0.604,0.558,0.667
15_中华人民共和国土壤污染防治法_2018公布.pdf,0.67,success,3,0,10,0.579,0.513,0.522
16_中华人民共和国海洋环境保护法_2023修订.pdf,0.525,success,3,0,14,0.417,0.464,0.571
17_中华人民共和国长江保护法_2020公布.pdf,0.64,success,3,0,11,0.601,0.613,0.618
18_中华人民共和国黄河保护法_2022公布.pdf,0.674,success,3,0,11,0.546,0.518,0.542
19_中华人民共和国湿地保护法_2021公布.pdf,0.57,success,3,0,13,0.598,0.597,0.621
20_中华人民共和国清洁生产促进法_2012修正.pdf,0.605,success,3,0,13,,0.92,0.92
21_中华人民共和国环境影响评价法_2018修正.pdf,0.699,success,3,0,11,0.516,0.683,0.548
22_中华人民共和国节约能源法_2018修正.pdf,0.54,success,3,0,15,0.562,0.474,0.547
23_中华人民共和国可再生能源法_2009修正.pdf,0.458,success,3,0,18,0.85,,0.88
24_碳排放权交易管理暂行条例_2024公布.pdf,0.587,success,3,0,11,0.95,,0.92
25_建设项目环境保护管理条例_2017修订.pdf,0.567,success,3,0,13,0.92,,0.88
26_畜禽规模养殖污染防治条例_2013公布.pdf,0.646,success,3,0,10,0.92,0.93,0.92
27_城镇排水与污水处理条例_2013公布.pdf,0.68,success,3,0,9,0.93,,0.96
28_消耗臭氧层物质管理条例_2023修订.pdf,0.58,success,3,0,11,0.96,0.995,0.95
29_打赢蓝天保卫战三年⾏动计划_2018公布.pdf,0.544,success,3,0,15,0.653,0.564,0.6
30_关于全⾯加强⽣态环境保护坚决打好污染_2018公布.pdf,0.576,success,3,0,13,0.521,0.696,0.591
31_关于深⼊打好污染防治攻坚战的意⻅_2021公布.pdf,0.601,success,3,0,11,0.91,0.95,0.97
32_2030年前碳达峰行动方案_2021公布.pdf,0.487,success,3,0,15,0.556,0.556,0.662
33_中共中央国务院关于完整准确全面贯彻新发展理念做好碳达峰碳中和工作的意见_2021.pdf,0.642,success,3,0,11,0.99,0.95,0.92
34_⽣态⽂明体制改⾰总体⽅案_2015公布.pdf,0.565,success,3,0,13,,0.93,0.95
35_关于构建现代环境治理体系的指导意⻅_2020公布.pdf,0.472,success,3,0,16,0.92,,0.82
36_国务院关于加快经济社会发展全面绿色转型的意见_2024公布.pdf,0.556,success,3,0,16,0.94,,0.88
37_关于推进污水资源化利用的指导意见_2021.pdf,0.579,success,3,0,15,0.98,,0.93
38_空气质量持续改善行动计划_2023公布.pdf,0.74,partial_with_failures,2,1,11,0.96,,0.97
39_环境影响评价公众参与办法_2018公布.pdf,0.73,success,3,0,8,0.95,,0.97
40_排污许可管理办法_2018公布.pdf,0.629,success,3,0,11,0.91,1.0,0.92
41_生态环境损害赔偿管理规定_2022公布.pdf,0.587,success,3,0,11,0.95,0.93,0.95
42_国家危险废物名录_2024公布.pdf,0.516,success,3,0,13,0.89,1.0,0.88
43_建设用地土壤污染风险管控和修复监测技术导则_2019公布.pdf,0.501,success,3,0,14,0.512,0.52,0.575
44_碳排放权登记管理规则（试⾏）_2021公布.pdf,0.496,success,3,0,14,0.91,0.95,0.85
45_上海市环境保护条例_2022公布.pdf,0.484,success,3,0,16,0.53,0.605,0.628
46_⼴东省环境保护条例_2018修订.pdf,0.522,success,3,0,15,0.522,0.602,0.625
47_河北省大气污染防治条例_2021公布.pdf,0.509,success,3,0,16,0.491,0.555,0.518
48_浙江省生态环境保护条例_2022公布.pdf,0.647,success,3,0,11,0.508,0.608,0.672
49_深圳经济特区生态环境保护条例_2021公布.pdf,0.606,success,3,0,14,0.437,0.524,0.508
50_江苏省生态环境监测条例_2020发布.pdf,0.67,success,3,0,9,0.95,1.0,0.92
