policy_type,tool,share,count,n_docs
地方性法规,命令控制型,1.0,7,7
地方性法规,信息公开型,1.0,7,7
地方性法规,经济激励型,0.8571428571428571,6,7
地方性法规,市场机制型,0.7142857142857143,5,7
地方性法规,自愿型,0.7142857142857143,5,7
未在文本中明确标注,命令控制型,1.0,1,1
未在文本中明确标注,信息公开型,1.0,1,1
未在文本中明确标注,经济激励型,1.0,1,1
未在文本中明确标注,市场机制型,1.0,1,1
未在文本中明确标注,自愿型,1.0,1,1
法律,命令控制型,1.0,15,15
法律,信息公开型,0.9333333333333333,14,15
法律,经济激励型,0.8666666666666667,13,15
法律,市场机制型,0.13333333333333333,2,15
法律,自愿型,0.6666666666666666,10,15
行政法规,命令控制型,1.0,9,9
行政法规,信息公开型,1.0,9,9
行政法规,经济激励型,0.6666666666666666,6,9
行政法规,市场机制型,0.4444444444444444,4,9
行政法规,自愿型,0.4444444444444444,4,9
规范性文件,命令控制型,1.0,11,11
规范性文件,信息公开型,1.0,11,11
规范性文件,经济激励型,1.0,11,11
规范性文件,市场机制型,0.9090909090909091,10,11
规范性文件,自愿型,0.9090909090909091,10,11
部门规章,命令控制型,0.8333333333333334,5,6
部门规章,信息公开型,0.6666666666666666,4,6
部门规章,经济激励型,0.0,0,6
部门规章,市场机制型,0.3333333333333333,2,6
部门规章,自愿型,0.0,0,6
部门规章/技术标准,命令控制型,1.0,1,1
部门规章/技术标准,信息公开型,0.0,0,1
部门规章/技术标准,经济激励型,0.0,0,1
部门规章/技术标准,市场机制型,0.0,0,1
部门规章/技术标准,自愿型,0.0,0,1
